Hour,DayOfWeek,Month,DayOfYear,Average_Temperature_C,netload
18,6,9,257,29.4,14.902294856093764
19,6,9,257,28.1,15.362407573550799
20,6,9,257,27.9,15.09498998313198
21,6,9,257,27.4,14.394709243057966
22,6,9,257,26.6,34.57721599143606
23,6,9,257,26.4,58.673042645286145
0,0,9,258,26.3,340.64604031625606
1,0,9,258,26.0,380.4027180928797
2,0,9,258,25.9,357.0988853234124
3,0,9,258,25.7,380.3965153833269
4,0,9,258,25.4,124.12209761818852
5,0,9,258,25.1,378.50795616961807
6,0,9,258,25.0,368.9314802365357
7,0,9,258,26.5,354.20926398128324
8,0,9,258,28.4,327.4199439894328
9,0,9,258,30.1,61.61425597732201
10,0,9,258,30.9,16.84712665045914
11,0,9,258,31.6,15.712225003246136
12,0,9,258,31.9,15.64400841979707
13,0,9,258,32.3,15.788245792812841
14,0,9,258,32.4,14.938392927238231
15,0,9,258,32.2,15.389760168158004
16,0,9,258,32.1,15.569437736167647
17,0,9,258,31.4,16.215779840022897
18,0,9,258,29.6,15.496108064698205
19,0,9,258,28.5,14.822674115839751
20,0,9,258,28.1,16.726213180135275
21,0,9,258,27.5,19.75566193357081
22,0,9,258,27.3,52.59180735084341
23,0,9,258,27.1,110.92952088072221
0,1,9,259,26.9,420.687068814589
1,1,9,259,26.0,480.97713322857106
2,1,9,259,26.1,477.2417305630756
3,1,9,259,26.0,484.4146587247814
