220.525,227.425,221.85,0.95,0.925,0.975,0.675,18678.03375,1,99.9375,0.1,1,99.9375,0
215.7625,230.5,220.7,1.175,1.1,1.15,0.78875,-0.005,1,99.95,0.1,1,99.95,0
218.2857143,229.7714286,223.1428571,1.042857143,1,1.042857143,0.725714286,-0.004285714,1,99.91428571,0.1,1,99.91428571,0
222.8,226.85,225.35,0.825,0.825,0.825,0.5875,0,1,99.9,0.1,1,99.9,0
222.6875,226.1,223.7,1.125,1.125,1.125,0.7825,36831.7775,1,99.9125,0.1,1,99.9125,0
228.41,225.85,226.8,1.24,1.26,1.24,0.882,0,1,99.98,0.1,1,99.98,0
224.8,230.2666667,225.7333333,1.533333333,1.533333333,1.55,1.081666667,0,1,99.93333333,0.1,1,99.93333333,0
227.2,229.6,224,1.116666667,1.116666667,1.116666667,0.806666667,24871.29167,1,99.9,0.1,1,99.9,0
225.2857143,228,225.6857143,1.242857143,1.242857143,1.242857143,0.89,0,1,99.92857143,0.1,1,99.92857143,0
168.175,171.8,171.475,56.2875,58.2375,57.8625,0.65,-0.0025,1,99.925,0.1,1,99.925,0
226.1428571,229.7142857,228,0.942857143,0.928571429,0.928571429,0.69,0,1,99.98571429,0.1,1,99.98571429,0
227.4714286,229.5,229.7142857,1.614285714,1.614285714,1.628571429,1.142857143,0,1,100,0.1,1,100,0
229.8285714,230.2285714,229.4142857,2.642857143,2.671428571,2.671428571,1.84,0,1,100,0.1,1,100,0
227.225,231.9,230.0625,2.6875,2.6875,2.7125,1.88375,56943.43875,1,99.925,0.1,1,99.925,0
223.725,228.0125,229.15,2.2875,2.3125,2.375,1.61625,0,1,99.925,0.1,1,99.925,0
225.8666667,231.7333333,226.5666667,2.633333333,2.633333333,2.683333333,1.876666667,0,1,99.93333333,0.1,1,99.93333333,0
225.05,233.175,229.4375,3.675,3.675,3.6875,2.54625,0.005,1,99.9125,0.1,1,99.9125,0
226.7333333,232.9333333,230.6166667,4.066666667,4.066666667,4.066666667,2.796666667,25253.58167,1,99.91666667,0.1,1,99.91666667,0
225.9285714,232.9142857,232.3857143,4.3,4.3,4.342857143,2.952857143,0,1,99.94285714,0.1,1,99.94285714,0
226.325,228.2875,233.6625,3.9375,3.9375,3.9625,2.72,37749.30875,1,99.9,0.1,1,99.9,0
227.2857143,232.4285714,232.0142857,3.485714286,3.485714286,3.528571429,2.422857143,0,1,99.94285714,0.1,1,99.94285714,0
225.3333333,233.3333333,230.8666667,4.083333333,4.05,4.15,2.825,0.003333333,1,99.95,0.1,1,99.95,0
75.48333333,78.26666667,76.66666667,152.2666667,157.6666667,153.8166667,2.401666667,0,1,99.93333333,0.1,1,99.93333333,0
228.74,229.36,229.72,2.76,2.76,2.82,1.952,0,1,99.96,0.1,1,99.96,0
152.4333333,154.9555556,152.5333333,77.53333333,78.5,78.37777778,1.401111111,0,1,99.94444444,0.1,1,99.94444444,0
162.5428571,163.4285714,164.4857143,65.28571429,67.1,67.64285714,1.162857143,-0.001428571,1,99.91428571,0.1,1,99.91428571,0
